image,color_histogram,fasterrcnn_detections,fasterrcnn_time,fasterrcnn_avg_conf,maskrcnn_detections,maskrcnn_time,maskrcnn_avg_conf,yolov8_detections,yolov8_time,yolov8_avg_conf
image 14.jpg,"[314337, 738245, 739431, 1194152, 2084353, 1169501, 489488, 1081593, 279336, 724633, 883094, 1187782, 2116485, 1095786, 449662, 1074322, 259139, 730531, 1043217, 1159648, 2222654, 912346, 432480, 1051085]",21,1.0115809440612793,0.8073095466409411,22,3.402951955795288,0.8130438002673063,9,0.12343287467956543,0.7961398164431254
image 12.jpg,"[5748, 174413, 205566, 151865, 106577, 82056, 86813, 198434, 16635, 154864, 260385, 165083, 106125, 72696, 66883, 168801, 98457, 227388, 305140, 136650, 41988, 28332, 20361, 153156]",1,0.9500091075897217,0.9985212683677673,1,1.135054111480713,0.99852055311203,1,0.053189992904663086,0.911222517490387
image 1.jpeg,"[1287030, 464420, 358403, 508010, 1353713, 1253467, 452137, 322820, 1246408, 826341, 550497, 380010, 804670, 1492261, 401395, 298418, 1632947, 692253, 502844, 341886, 680405, 1431766, 383680, 334219]",59,1.0345208644866943,0.8533278683484611,62,3.983705759048462,0.8366182177297531,24,0.09501314163208008,0.6252835666139921
image 15.jpeg,"[436844, 297436, 468250, 440156, 1181948, 719985, 669839, 1785542, 124686, 387815, 545405, 2085777, 2367726, 432183, 52994, 3414, 52772, 172088, 729083, 4473926, 572091, 40, 0, 0]",9,0.8822999000549316,0.9012014600965712,10,1.3219408988952637,0.8336837083101273,5,0.0713353157043457,0.5185087561607361
image 7.jpg,"[222339, 167626, 415241, 557590, 207638, 117426, 171090, 144334, 191635, 201408, 497476, 466493, 177393, 107625, 162653, 198601, 181151, 192096, 449498, 532193, 186245, 113131, 167848, 181122]",7,0.6810829639434814,0.673714165176664,7,1.598381757736206,0.7234666177204677,2,0.07843422889709473,0.8348646759986877
image 4.jpeg,"[418, 1657, 5913, 32300, 39901, 31121, 22577, 14693, 913, 3363, 14506, 40688, 41137, 22922, 11077, 13974, 2993, 8406, 14449, 34381, 34245, 29143, 12882, 12081]",8,0.6839349269866943,0.7573940493166447,6,0.9354450702667236,0.858368511001269,3,0.05287456512451172,0.7126291195551554
image 6.jpg,"[11796, 85232, 250895, 223962, 155317, 111052, 64502, 18844, 16381, 66373, 215983, 251023, 160360, 105171, 54089, 52220, 30604, 146184, 252749, 205697, 104090, 66344, 45677, 70255]",12,1.0549941062927246,0.8485561311244965,13,1.6572678089141846,0.8440651985315176,7,0.05155825614929199,0.6579998007842472
image 8.jpeg,"[13159, 13651, 9235, 6595, 4001, 3126, 540, 93, 22886, 13200, 7918, 3339, 1290, 513, 1254, 0, 14385, 11338, 10428, 6556, 3846, 1723, 1451, 673]",21,1.1869752407073975,0.6867009514854068,23,1.7900989055633545,0.6988136172294617,2,0.04119706153869629,0.6788489520549774
image 5.jpg,"[37146, 63343, 40875, 95974, 169598, 264136, 298938, 29990, 41896, 67033, 43584, 104591, 173726, 275335, 267791, 26044, 52163, 69616, 50423, 122009, 166017, 267830, 249301, 22641]",14,0.5434322357177734,0.8671187460422516,17,1.2634220123291016,0.7650854342124042,7,0.06357312202453613,0.6461492138249534
image 13.jpeg,"[470025, 1040570, 1019865, 1386690, 1304560, 576723, 186511, 15056, 272004, 837930, 1129524, 1663009, 1432858, 451991, 156166, 56518, 1109600, 1583321, 1322983, 1128035, 547310, 163699, 111897, 33155]",5,0.9136590957641602,0.8783300876617431,5,0.9273169040679932,0.9128847599029541,4,0.06471490859985352,0.8153669685125351
image 9.jpeg,"[1056634, 657514, 3292669, 4257818, 1175682, 686109, 741043, 891531, 537624, 748845, 2616472, 5025279, 1502294, 748852, 795377, 784257, 533615, 669199, 2492705, 5156844, 1644095, 766203, 748877, 747462]",47,1.0550401210784912,0.7799214841203487,52,5.421667098999023,0.7622001555103523,26,0.14159917831420898,0.5975640886105024
image 3.jpg,"[45469, 103949, 75272, 76902, 170651, 189919, 67078, 23160, 21255, 93170, 110369, 83242, 138199, 248647, 53922, 3596, 213945, 129510, 191148, 149667, 37873, 19288, 10076, 893]",2,0.8795211315155029,0.9910246431827545,2,0.8466711044311523,0.8520475625991821,2,0.035234928131103516,0.6671179234981537
